Employee_ID,Age,Department,JobRole,MonthlyIncome,YearsAtCompany,WorkLifeBalance,JobSatisfaction,EnvironmentSatisfaction,OverTime,StressLevel,ManagerRating,PromotionInLast2Years,HealthScore,RemoteWork,Attrition
EMP00001,56,Marketing,Brand Manager,10690,9,2,1,2,Yes,1,1,No,5,No,No
EMP00002,33,R&D,Research Scientist,6066,10,2,4,4,Yes,1,2,No,5,No,Yes
EMP00003,28,Sales,Sales Representative,5356,7,3,4,4,No,3,1,No,4,Yes,No
EMP00004,42,Marketing,Marketing Specialist,7193,8,2,2,3,No,3,3,No,5,No,No
EMP00005,34,HR,HR Specialist,5874,2,3,2,3,No,1,2,No,4,No,No
EMP00006,23,Engineering,QA Engineer,3219,2,4,4,1,Yes,3,2,No,1,No,Yes
EMP00007,57,Marketing,Brand Manager,10853,7,3,1,1,No,2,3,No,2,No,Yes
EMP00008,28,R&D,R&D Director,5966,6,2,4,3,No,3,2,No,2,No,Yes
EMP00009,32,R&D,Research Scientist,5120,10,2,1,1,No,2,2,No,3,No,No
EMP00010,34,Sales,Sales Executive,7054,2,3,3,2,No,1,3,No,4,No,No
EMP00011,54,HR,HR Manager,10712,4,3,2,3,No,4,1,Yes,4,No,No
EMP00012,52,Marketing,Brand Manager,9128,3,1,4,2,No,1,3,Yes,2,Yes,No
EMP00013,36,R&D,Lab Technician,6339,10,3,2,1,No,4,2,Yes,2,No,Yes
EMP00014,44,R&D,R&D Director,9128,12,1,4,1,No,3,3,No,1,No,No
EMP00015,33,Sales,Sales Executive,6639,7,3,1,1,No,1,3,No,2,Yes,No
EMP00016,58,R&D,R&D Director,10696,3,2,2,4,Yes,3,3,No,3,No,No
EMP00017,29,Engineering,Tech Lead,6113,6,1,3,3,Yes,2,3,No,1,No,Yes
EMP00018,56,Marketing,Marketing Specialist,9820,4,2,3,2,Yes,4,2,No,3,Yes,No
EMP00019,57,Marketing,Marketing Specialist,10116,12,4,4,2,No,3,3,No,5,No,No
EMP00020,53,HR,HR Manager,9981,5,3,3,4,No,2,4,No,4,No,No
EMP00021,50,Sales,Account Manager,9657,2,3,4,1,No,3,1,No,1,Yes,No
EMP00022,38,Marketing,Brand Manager,7755,12,4,3,2,No,4,4,Yes,1,No,No
EMP00023,49,Sales,Sales Executive,9142,2,2,4,1,No,4,2,No,4,No,No
EMP00024,27,Marketing,Marketing Specialist,5588,6,1,3,4,No,1,3,No,2,No,No
EMP00025,33,Sales,Sales Executive,5944,10,3,1,2,No,2,3,No,1,Yes,No
EMP00026,53,Sales,Account Manager,9313,15,2,3,3,Yes,4,3,Yes,2,No,Yes
EMP00027,27,Marketing,Brand Manager,5030,6,1,2,3,No,2,2,No,1,Yes,No
EMP00028,37,Marketing,Brand Manager,6837,7,1,1,1,No,1,3,No,3,No,No
EMP00029,41,R&D,Lab Technician,8769,6,3,1,3,Yes,4,3,Yes,5,Yes,No
EMP00030,24,Engineering,Software Engineer,4531,3,1,4,2,No,3,3,No,2,No,Yes
EMP00031,35,Marketing,Marketing Specialist,7233,14,1,4,4,Yes,3,4,No,1,No,No
EMP00032,30,Engineering,DevOps Specialist,6161,3,3,2,1,No,2,1,No,4,Yes,No
EMP00033,53,Engineering,Software Engineer,10076,8,1,2,4,No,1,4,No,2,Yes,Yes
EMP00034,39,HR,HR Manager,7264,13,3,1,2,No,1,1,No,1,Yes,No
EMP00035,46,HR,HR Specialist,8928,14,2,1,3,No,3,4,No,1,No,No
EMP00036,34,Marketing,Marketing Specialist,6038,13,1,1,1,Yes,4,4,No,3,Yes,Yes
